,,,,,,,,,Inspection information,,,,,,
Residential Special School,01/05/2015,Active,South East,South East,Kent,Sevenoaks,Academy,Parkwood Hall Co-Operative Academy Trust 09494940,Full inspection,27/11/2018,07/01/2019,10045706,Good,Good,Good
Children's home,14/06/2016,Active,West Midlands,West Midlands,Shropshire,North Shropshire,Private,Cambian Childcare Limited,Full inspection,02/10/2018,17/10/2018,10051052,Good,Good,Good
Residential Holiday Scheme for Disabled Children,28/10/2015,Active,London,London,Camden,Hampstead and Kilburn,Private,Oundle Mencap Holidays Ltd 05393382,Full inspection,31/07/2018,07/09/2018,10051807,Outstanding,Outstanding,Outstanding
Children's home,04/04/2016,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Selby and Ainsty,Private,Cambian Childcare Limited,Full inspection,13/06/2018,19/07/2018,10051013,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,04/04/2016,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Selby and Ainsty,Private,Cambian Childcare Limited,Interim inspection,15/01/2019,31/01/2019,10051714,Declined effectiveness,,
Children's home,22/09/2015,Active,London,London,Islington,Islington South and Finsbury,Voluntary,St Christopher's Fellowship,Interim inspection,05/03/2019,04/04/2019,10092207,Sustained effectiveness,,
Children's home,22/09/2015,Active,London,London,Islington,Islington South and Finsbury,Voluntary,St Christopher's Fellowship,Full inspection,04/06/2018,28/06/2018,10050928,Requires improvement to be good,Requires improvement to be good,Good
Children's home,02/10/2015,Active,London,London,Ealing,Ealing Central and Acton,Voluntary,St Christopher's Fellowship,Full inspection,08/05/2018,06/06/2018,10050936,Outstanding,Outstanding,Outstanding
Children's home,08/09/2015,Active,;North East, Yorkshire and the Humber;,North East,Darlington,Sedgefield,Private,Witherslack Group Ltd,Full inspection,20/11/2018,24/12/2018,10050925,Outstanding,Outstanding,Outstanding
Children's home,29/10/2015,Active,South West,South West,Dorset,West Dorset,Private,Cambian Childcare Limited,Full inspection,21/08/2018,28/09/2018,10050950,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,07/03/2016,Active,;North East, Yorkshire and the Humber;,North East,Stockton-on-Tees,Stockton North,Private,Spark Of Genius North East Llp,Full inspection,11/02/2019,15/04/2019,10051005,Good,Good,Good
Children's home,08/10/2015,Active,North West,North West,Salford,Salford and Eccles,Private,Holistic Approach Ltd,Full inspection,31/01/2019,08/03/2019,10050940,Outstanding,Outstanding,Outstanding
Children's home,16/08/2015,Active,East of England,East of England,Hertfordshire,St Albans,Private,Broadwood Residential Limited,Full inspection,05/09/2018,24/09/2018,10050919,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,25/10/2015,Resigned,West Midlands,West Midlands,Sandwell,West Bromwich East,Private,Icare Children's Services Ltd,Full inspection,08/05/2018,04/06/2018,10050949,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,25/10/2015,Resigned,West Midlands,West Midlands,Sandwell,West Bromwich East,Private,Icare Children's Services Ltd,Interim inspection,21/08/2018,06/09/2018,10068667,Declined effectiveness,,
Children's home,25/10/2015,Resigned,West Midlands,West Midlands,Sandwell,West Bromwich East,Private,Icare Children's Services Ltd,Monitoring inspection,29/08/2018,17/09/2018,10070734,,,
Children's home,25/10/2015,Resigned,West Midlands,West Midlands,Sandwell,West Bromwich East,Private,Icare Children's Services Ltd,Monitoring inspection,17/08/2018,06/09/2018,10068448,,,
Children's home,01/10/2015,Active,East of England,East of England,Suffolk,Ipswich,Private,Priory Education Services Limited,Full inspection,21/11/2018,10/12/2018,10050935,Good,Good,Good
Children's home,09/09/2015,Active,East Midlands,East Midlands,Nottingham,Nottingham North,Voluntary,Nottinghamshire Ymca,Full inspection,26/06/2018,10/07/2018,10050926,Good,Good,Good
Children's home,09/11/2015,Active,East Midlands,East Midlands,Northamptonshire,Wellingborough,Private,Tlc Youth Care Ltd,Full inspection,23/10/2018,05/11/2018,10050955,Outstanding,Outstanding,Outstanding
Children's home,16/10/2015,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Wakefield,Hemsworth,Private,Keswick Care Ltd,Full inspection,23/04/2018,13/06/2018,10050948,Good,Good,Requires improvement to be good
Children's home,30/09/2015,Active,South East,South East,Slough,Slough,Voluntary,Slough Children's Services Trust Limited (09487106),Full inspection,23/05/2018,04/07/2018,10050933,Requires improvement to be good,Good,Inadequate
Children's home,30/09/2015,Active,South East,South East,Slough,Slough,Voluntary,Slough Children's Services Trust Limited (09487106),Monitoring inspection,25/02/2019,28/03/2019,10095003,,,
Children's home,30/09/2015,Active,South East,South East,Slough,Slough,Voluntary,Slough Children's Services Trust Limited (09487106),Interim inspection,05/02/2019,04/03/2019,10081402,Declined effectiveness,,
Children's home,30/09/2015,Active,South East,South East,Slough,Slough,Voluntary,Slough Children's Services Trust Limited (09487106),Full inspection,02/05/2018,13/06/2018,10050934,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,30/09/2015,Active,South East,South East,Slough,Slough,Voluntary,Slough Children's Services Trust Limited (09487106),Interim inspection,15/01/2019,01/03/2019,10051700,Declined effectiveness,,
Independent Fostering Agency,30/09/2015,Active,South East,South East,Slough,Slough,Voluntary,Slough Children's Services Trust Limited (09487106),Full inspection,18/06/2018,18/07/2018,10046830,Requires improvement to be good,Requires improvement to be good,Inadequate
Voluntary Adoption Agency,30/09/2015,Active,South East,South East,Slough,Slough,Voluntary,Slough Children's Services Trust Limited (09487106),Full inspection,29/10/2018,22/11/2018,10051993,Good,Requires improvement to be good,Good
Children's home,10/01/2016,Active,North West,North West,Cheshire West and Chester,City of Chester,Local Authority,Cheshire West and Chester Council,Full inspection,30/10/2018,06/12/2018,10050982,Outstanding,Outstanding,Outstanding
Children's home,29/02/2016,Active,North West,North West,Lancashire,Lancaster and Fleetwood,Private,Lonsdale Care Ltd,Full inspection,25/01/2019,14/02/2019,10051003,Outstanding,Outstanding,Outstanding
Children's home,20/01/2016,Active,East of England,East of England,Essex,Harlow,Private,A+t Home,Full inspection,30/07/2018,06/09/2018,10050987,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,25/11/2015,Active,South East,South East,Slough,Slough,Private,Quality Care Homes (uk) Limited,Full inspection,12/02/2019,05/03/2019,10050959,Good,Requires improvement to be good,Good
Children's home,04/04/2016,Active,;North East, Yorkshire and the Humber;,North East,Sunderland,Sunderland Central,Private,Sunderland Care And Support Limited,Full inspection,27/11/2018,20/12/2018,10051014,Good,Requires improvement to be good,Requires improvement to be good
Residential special school (registered as a children's home),05/11/2015,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Calderdale,Halifax,Private,Young Foundations Limited,Full inspection,06/03/2019,23/04/2019,10050954,Good,Good,Good
Children's home,24/08/2015,Active,London,London,Bromley,Bromley and Chislehurst,Private,Acorn Homes (uk) Ltd,Full inspection,01/05/2018,30/05/2018,10050922,Good,Good,Good
Children's home,03/11/2015,Active,East Midlands,East Midlands,Northamptonshire,Kettering,Private,,Full inspection,15/05/2018,07/06/2018,10050952,Good,Good,Good
Children's home,22/12/2015,Active,North West,North West,Blackpool,Blackpool North and Cleveleys,Private,Sandcastle Care Ltd,Full inspection,06/02/2019,05/03/2019,10050974,Good,Good,Good
Children's home,30/11/2015,Active,South East,South East,Reading,Reading East,Private,Kennet Care Limited,Full inspection,26/06/2018,18/07/2018,10050963,Good,Requires improvement to be good,Good
Children's home,09/12/2015,Active,West Midlands,West Midlands,Staffordshire,Cannock Chase,Private,Horizon Care And Education Group Limited,Full inspection,20/02/2019,25/04/2019,10050967,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,29/10/2015,Active,South West,South West,Somerset,Bridgwater and West Somerset,Private,South West Mental Health Ltd,Interim inspection,11/02/2019,11/03/2019,10089320,Sustained effectiveness,,
Children's home,29/10/2015,Active,South West,South West,Somerset,Bridgwater and West Somerset,Private,South West Mental Health Ltd,Full inspection,31/07/2018,23/08/2018,10050951,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,08/02/2016,Active,North West,North West,Wigan,Wigan,Private,Next Stage 4 Life,Full inspection,23/07/2018,13/08/2018,10050996,Good,Good,Requires improvement to be good
Children's home,18/12/2015,Active,East Midlands,East Midlands,Nottinghamshire,Newark,Private,Castle Homes Care Ltd,Full inspection,22/05/2018,18/06/2018,10050972,Inadequate,Inadequate,Inadequate
Children's home,18/12/2015,Active,East Midlands,East Midlands,Nottinghamshire,Newark,Private,Castle Homes Care Ltd,Full inspection,03/07/2018,27/07/2018,10055279,Inadequate,Inadequate,Inadequate
Children's home,17/12/2015,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Richmond (Yorks),Private,Priory Education Services Limited,Full inspection,26/02/2019,18/03/2019,10050971,Good,Good,Outstanding
Children's home,09/02/2016,Active,North West,North West,Salford,Worsley and Eccles South,Private,Hexagon Care Services Limited,Full inspection,21/05/2018,19/06/2018,10050997,Good,Good,Outstanding
Children's home,01/12/2015,Active,East Midlands,East Midlands,Nottinghamshire,Gedling,Private,Pathway Care Solutions Ltd 04004053,Full inspection,17/07/2018,02/08/2018,10050964,Good,Good,Good
Children's home,15/09/2016,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Skipton and Ripon,Private,Hexagon Care Services Limited,Full inspection,08/11/2018,07/12/2018,10051099,Good,Requires improvement to be good,Good
Children's home,09/12/2015,Active,East Midlands,East Midlands,Nottingham,Nottingham North,Private,Pathway Care Solutions Ltd 04004053,Interim inspection,07/02/2019,26/02/2019,10051708,Sustained effectiveness,,
Children's home,09/12/2015,Active,East Midlands,East Midlands,Nottingham,Nottingham North,Private,Pathway Care Solutions Ltd 04004053,Full inspection,09/05/2018,31/05/2018,10050968,Good,Good,Good
Children's home,24/11/2015,Active,West Midlands,West Midlands,Shropshire,Ludlow,Private,Reflexion Care Group Limited,Full inspection,15/11/2018,14/12/2018,10050958,Good,Good,Good
Residential Special School,01/04/2015,Active,East of England,East of England,Essex,Harwich and North Essex,Academy,Seax Trust (07747149),Full inspection,11/02/2019,05/03/2019,10045703,Good,Good,Good
Children's home,29/09/2015,Active,North West,North West,St Helens,St Helens North,Private,Inspire Childrens Services Limited,Full inspection,03/01/2019,21/01/2019,10050932,Good,Outstanding,Good
Children's home,10/11/2015,Active,East Midlands,East Midlands,Leicestershire,Harborough,Private,Platform Childcare Ltd,Full inspection,14/11/2018,04/12/2018,10050956,Outstanding,Outstanding,Outstanding
Children's home,18/12/2015,Active,North West,North West,Cheshire East,Macclesfield,Private,Esland North Limited,Full inspection,24/01/2019,14/02/2019,10050973,Good,Good,Good
Children's home,13/01/2016,Active,West Midlands,West Midlands,Herefordshire,North Herefordshire,Private,River Valley Care Ltd,Full inspection,23/10/2018,02/11/2018,10050984,Good,Good,Good
Children's home,26/11/2015,Resigned,South East,South East,Southampton,;Southampton, Test;,Private,Headway House Limited,Full inspection,25/04/2018,25/05/2018,10050961,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Residential Holiday Scheme for Disabled Children,17/12/2015,Active,East of England,East of England,Suffolk,Bury St Edmunds,Private,Achieving Aspirations Community Interest Company,Full inspection,28/07/2018,24/08/2018,10051815,Good,Good,Requires improvement to be good
Children's home,07/12/2015,Active,East Midlands,East Midlands,Nottingham,Nottingham South,Private,Resolute Care Ltd,Full inspection,28/11/2018,18/12/2018,10050965,Outstanding,Outstanding,Outstanding
Children's home,03/02/2016,Active,;North East, Yorkshire and the Humber;,North East,Newcastle upon Tyne,Newcastle upon Tyne East,Private,Hennessy Living Group Limited,Full inspection,29/01/2019,20/02/2019,10050993,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,03/02/2016,Active,;North East, Yorkshire and the Humber;,North East,Newcastle upon Tyne,Newcastle upon Tyne East,Private,Hennessy Living Group Limited,Monitoring inspection,02/08/2018,20/08/2018,10056522,,,
Children's home,03/02/2016,Active,;North East, Yorkshire and the Humber;,North East,Newcastle upon Tyne,Newcastle upon Tyne East,Private,Hennessy Living Group Limited,Monitoring inspection,13/04/2018,10/05/2018,10053639,,,
Children's home,03/02/2016,Active,;North East, Yorkshire and the Humber;,North East,Newcastle upon Tyne,Newcastle upon Tyne East,Private,Hennessy Living Group Limited,Monitoring inspection,01/10/2018,18/10/2018,10078247,,,
Children's home,23/12/2015,Active,East Midlands,East Midlands,Nottingham,Nottingham East,Voluntary,Nottinghamshire Ymca,Full inspection,17/07/2018,31/07/2018,10050975,Good,Good,Good
Children's home,29/11/2015,Active,West Midlands,West Midlands,Staffordshire,Stafford,Private,Hygge Care Ltd,Full inspection,04/12/2018,24/12/2018,10050962,Good,Good,Good
Children's home,09/06/2016,Active,North West,North West,Blackpool,Blackpool South,Private,Hexagon Care Services Limited,Full inspection,21/01/2019,13/02/2019,10051048,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,15/03/2016,Active,South West,South West,Dorset,South Dorset,Private,Potensial Ltd,Full inspection,19/12/2018,17/01/2019,10051007,Good,Requires improvement to be good,Good
Independent Fostering Agency,22/07/2016,Active,London,London,Hillingdon,Hayes and Harlington,Private,Fostering Innovations Limited,Full inspection,12/11/2018,13/12/2018,10030592,Good,Good,Good
Children's home,02/02/2016,Active,North West,North West,Lancashire,Ribble Valley,Private,Hexagon Care Services Limited,Full inspection,20/09/2018,19/10/2018,10050992,Good,Good,Outstanding
Independent Fostering Agency,10/10/2016,Active,London,London,Bromley,Bromley and Chislehurst,Private,Hatols Fostering Services Ltd (Co Number 08016114),Full inspection,24/09/2018,13/11/2018,10019097,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,17/02/2016,Active,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent South,Private,Platinum Services For Children (residential Care) Ltd,Full inspection,12/07/2018,31/08/2018,10050999,Good,Requires improvement to be good,Good
Children's home,17/02/2016,Active,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent South,Private,Platinum Services For Children (residential Care) Ltd,Interim inspection,19/03/2019,15/04/2019,10051712,Sustained effectiveness,,
Children's home,10/12/2015,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds Central,Local Authority,Leeds City Council,Full inspection,06/06/2018,04/07/2018,10050970,Outstanding,Outstanding,Outstanding
Children's home,10/12/2015,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds Central,Local Authority,Leeds City Council,Interim inspection,14/08/2018,03/09/2018,10030355,Declined effectiveness,,
Children's home,20/04/2016,Active,West Midlands,West Midlands,Shropshire,North Shropshire,Private,Bryn Melyn Care Limited,Full inspection,29/01/2019,15/03/2019,10051021,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,04/02/2016,Active,North West,North West,Lancashire,Fylde,Private,Hexagon Care Services Limited,Full inspection,27/11/2018,17/12/2018,10050994,Outstanding,Outstanding,Outstanding
Children's home,14/04/2016,Active,North West,North West,Lancashire,Burnley,Private,Sandcastle Care Ltd,Full inspection,04/12/2018,27/12/2018,10051019,Good,Good,Good
Children's home,04/11/2015,Active,East of England,East of England,Hertfordshire,Hemel Hempstead,Private,Broadwood Residential Limited,Full inspection,25/06/2018,16/07/2018,10050953,Good,Good,Good
Children's home,04/11/2015,Active,East of England,East of England,Hertfordshire,Hemel Hempstead,Private,Broadwood Residential Limited,Interim inspection,14/02/2019,07/03/2019,10051705,Declined effectiveness,,
Children's home,06/01/2016,Active,North West,North West,Wigan,Makerfield,Private,Inspire Childrens Services Limited,Full inspection,02/05/2018,24/05/2018,10050979,Good,Good,Good
Children's home,30/12/2015,Active,East Midlands,East Midlands,Leicestershire,Charnwood,Private,Horizon Care And Education Group Limited,Full inspection,06/06/2018,29/06/2018,10050977,Outstanding,Outstanding,Outstanding
Children's home,11/02/2016,Active,East Midlands,East Midlands,Rutland,Rutland and Melton,Private,Hopscotch Solutions Limited,Interim inspection,21/02/2019,08/03/2019,10051855,Sustained effectiveness,,
Children's home,11/02/2016,Active,East Midlands,East Midlands,Rutland,Rutland and Melton,Private,Hopscotch Solutions Limited,Full inspection,03/07/2018,23/07/2018,10050998,Outstanding,Outstanding,Outstanding
Children's home,18/05/2016,Active,North West,North West,Lancashire,Preston,Private,Cambian Childcare Limited,Full inspection,02/05/2018,25/05/2018,10051036,Good,Good,Requires improvement to be good
Children's home,27/04/2016,Active,North West,North West,Warrington,Warrington South,Private,Cambian Childcare Limited,Full inspection,30/05/2018,14/06/2018,10051024,Good,Good,Good
Children's home,15/01/2016,Active,South East,South East,Kent,Sittingbourne and Sheppey,Private,Benecare Limited,Full inspection,29/08/2018,09/10/2018,10050986,Good,Good,Good
Children's home,11/01/2016,Active,South East,South East,West Sussex,Arundel and South Downs,Private,Kingdom Care Childrens Homes Ltd,Full inspection,02/08/2018,03/09/2018,10050983,Good,Good,Good
Children's home,29/10/2016,Active,West Midlands,West Midlands,Birmingham,;Birmingham, Erdington;,Private,Compass Children's Homes Ltd,Full inspection,12/09/2018,15/10/2018,10051128,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,07/01/2016,Active,South East,South East,West Sussex,East Worthing and Shoreham,Private,Kingdom Care Childrens Homes Ltd,Full inspection,06/02/2019,20/03/2019,10050980,Good,Good,Good
Children's home,15/07/2016,Active,East of England,East of England,Essex,Harlow,Private,Harmony Residential Homes Ltd,Full inspection,13/08/2018,04/09/2018,10051067,Good,Good,Good
Children's home,15/07/2016,Active,East of England,East of England,Essex,Harlow,Private,Harmony Residential Homes Ltd,Interim inspection,20/02/2019,06/03/2019,10051728,Improved effectiveness,,
Children's home,17/03/2016,Active,East of England,East of England,Thurrock,South Basildon and East Thurrock,Private,Potton Homes Ltd,Full inspection,04/06/2018,25/06/2018,10051008,Good,Good,Good
Children's home,17/03/2016,Active,East of England,East of England,Thurrock,South Basildon and East Thurrock,Private,Potton Homes Ltd,Interim inspection,15/01/2019,31/01/2019,10051713,Improved effectiveness,,
Independent Fostering Agency,09/08/2016,Active,North West,North West,Salford,Salford and Eccles,Voluntary,Action For Children,Full inspection,10/09/2018,28/09/2018,10046850,Good,Good,Good
Children's home,25/01/2016,Active,East of England,East of England,Cambridgeshire,South Cambridgeshire,Voluntary,Action For Children,Full inspection,31/07/2018,20/08/2018,10050989,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Residential special school (registered as a children's home),06/04/2016,Active,South West,South West,South Gloucestershire,Thornbury and Yate,Voluntary,Thornleigh Camphill Communities Ltd,Full inspection,26/06/2018,17/07/2018,10051016,Good,Good,Good
Residential special school (registered as a children's home),06/04/2016,Active,South West,South West,South Gloucestershire,Thornbury and Yate,Voluntary,Thornleigh Camphill Communities Ltd,Interim inspection,09/01/2019,30/01/2019,10051715,Improved effectiveness,,
Children's home,28/01/2016,Active,East Midlands,East Midlands,Leicestershire,Bosworth,Private,Horizon Care And Education Group Limited,Full inspection,16/10/2018,07/11/2018,10050990,Good,Good,Outstanding
Children's home,12/04/2016,Active,South East,South East,Kent,Dover,Private,Moonreach Ltd,Full inspection,11/02/2019,12/03/2019,10051017,Good,Good,Good
Children's home,26/05/2016,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Scarborough and Whitby,Private,Cambian Childcare Limited,Full inspection,05/03/2019,03/04/2019,10051040,Good,Good,Good
Residential special school (registered as a children's home),09/12/2015,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Skipton and Ripon,Private,Cambian Autism Services Limited,Full inspection,29/01/2019,29/03/2019,10085971,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Residential special school (registered as a children's home),09/12/2015,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Skipton and Ripon,Private,Cambian Autism Services Limited,Monitoring inspection,12/12/2018,04/01/2019,10085962,,,
Residential special school (registered as a children's home),09/12/2015,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Skipton and Ripon,Private,Cambian Autism Services Limited,Full inspection,06/11/2018,07/12/2018,10050969,Inadequate,Inadequate,Inadequate
Children's home,04/05/2016,Active,West Midlands,West Midlands,Telford and Wrekin,The Wrekin,Private,Positive Outcomes Childcare Ltd,Full inspection,24/07/2018,25/09/2018,10051028,Inadequate,Inadequate,Inadequate
Children's home,04/05/2016,Active,West Midlands,West Midlands,Telford and Wrekin,The Wrekin,Private,Positive Outcomes Childcare Ltd,Full inspection,07/11/2018,06/12/2018,10083987,Good,Good,Requires improvement to be good
Children's home,04/05/2016,Active,West Midlands,West Midlands,Telford and Wrekin,The Wrekin,Private,Positive Outcomes Childcare Ltd,Monitoring inspection,11/09/2018,03/10/2018,10077811,,,
Children's home,27/05/2016,Active,North West,North West,Lancashire,West Lancashire,Private,Exceptional Care Ltd,Full inspection,10/10/2018,09/11/2018,10051049,Inadequate,Inadequate,Inadequate
Children's home,27/05/2016,Active,North West,North West,Lancashire,West Lancashire,Private,Exceptional Care Ltd,Monitoring inspection,11/12/2018,21/12/2018,10083591,,,
Children's home,27/05/2016,Active,North West,North West,Lancashire,West Lancashire,Private,Exceptional Care Ltd,Full inspection,23/01/2019,04/03/2019,10083590,Good,Good,Good
Children's home,23/02/2016,Active,West Midlands,West Midlands,Staffordshire,Stafford,Private,Reflexion Care Group Limited,Full inspection,16/10/2018,13/11/2018,10051001,Outstanding,Outstanding,Outstanding
Children's home,26/02/2016,Active,South West,South West,Somerset,Somerton and Frome,Private,Solent Child Care Ltd,Full inspection,21/11/2018,12/12/2018,10051002,Good,Good,Good
Children's home,17/10/2016,Active,West Midlands,West Midlands,Walsall,Aldridge-Brownhills,Private,Compass Children's Homes Ltd,Full inspection,12/09/2018,23/10/2018,10051117,Good,Good,Good
Children's home,27/04/2016,Active,West Midlands,West Midlands,Birmingham,Sutton Coldfield,Private,Meadows Care Ltd,Full inspection,02/05/2018,21/05/2018,10051025,Good,Good,Good
Children's home,27/04/2016,Active,West Midlands,West Midlands,Birmingham,Sutton Coldfield,Private,Meadows Care Ltd,Interim inspection,20/03/2019,24/04/2019,10051717,Declined effectiveness,,
Children's home,27/06/2016,Active,North West,North West,Cheshire West and Chester,Ellesmere Port and Neston,Private,Phoenix Care And Education Ltd,Monitoring inspection,20/09/2018,12/10/2018,10078340,,,
Children's home,27/06/2016,Active,North West,North West,Cheshire West and Chester,Ellesmere Port and Neston,Private,Phoenix Care And Education Ltd,Monitoring inspection,04/01/2019,18/01/2019,10089305,,,
Children's home,27/06/2016,Active,North West,North West,Cheshire West and Chester,Ellesmere Port and Neston,Private,Phoenix Care And Education Ltd,Monitoring inspection,12/06/2018,28/06/2018,10055297,,,
Children's home,27/06/2016,Active,North West,North West,Cheshire West and Chester,Ellesmere Port and Neston,Private,Phoenix Care And Education Ltd,Monitoring inspection,20/08/2018,07/09/2018,10056331,,,
